categoria_produto,nota_media_categoria,total_avaliacoes_categoria
moveis_escritorio,3.49,1687
fashion_roupa_masculina,3.64,131
telefonia_fixa,3.68,262
audio,3.83,361
casa_conforto,3.83,435
construcao_ferramentas_seguranca,3.84,193
cama_mesa_banho,3.9,11137
moveis_sala,3.9,502
moveis_decoracao,3.9,8331
informatica_acessorios,3.93,7849
