categoria_produto,nota_media_categoria,total_avaliacoes_categoria
livros_interesse_geral,4.45,549
livros_tecnicos,4.37,266
alimentos_bebidas,4.32,279
malas_acessorios,4.32,1088
fashion_calcados,4.23,261
alimentos,4.22,495
pet_shop,4.19,1939
papelaria,4.19,2507
pcs,4.18,200
eletrodomesticos,4.17,806
